Id;Label;Longitude;Latitude
600;Däniken;7.978765;47.356243
601;Dulliken;7.946559;47.353277
602;Rothrist;7.878497;47.306146
603;Murgenthal;7.832009;47.265649
604;Roggwil-Wynau;7.814904;47.251629
605;Benzenschwil;8.363859;47.248036
606;Mühlau;8.38851;47.225015
607;Sins;8.397488;47.188159
608;Oberrüti;8.404766;47.165924
609;Koblenz Dorf;8.240138;47.609384
610;Rietheim;8.278126;47.600391
611;Bad Zurzach;8.29531;47.588223
612;Rekingen AG;8.327111;47.569968
613;Hunzenschwil;8.125678;47.388284
614;Suhr;8.081889;47.371581
615;Oberentfelden;8.048377;47.356481
616;Kölliken;8.026445;47.337293
617;Kölliken Oberdorf;8.01907;47.324674
618;Safenwil;7.983508;47.321753
619;Walterswil-Striegel;7.963186;47.319923
620;Küngoldingen;7.941694;47.301966
621;Schinznach Bad;8.166928;47.451776
622;Holderbank AG;8.166598;47.428635
623;Münsingen;7.559716;46.872653
624;Basel St. Johann;7.572924;47.570404
625;Ostermundigen;7.482012;46.955851
626;Gümligen;7.505501;46.934315
627;Kleine Scheidegg;7.960123;46.584795
628;Eigergletscher;7.974076;46.574808
629;Jungfraujoch;7.982085;46.547468
630;Generoso Vetta;9.019005;45.928103
631;Bellavista;9.00114;45.911114
632;S. Nicolao;8.988878;45.88638
633;Montreux-Les Planches;6.917563;46.433092
634;Toveyre;6.928476;46.427897
635;Valmont;6.929303;46.428549
636;Glion;6.924732;46.431776
637;Glion-Alpes;6.924331;46.432853
638;Glion-Collège;6.926208;46.433851
639;Le Tremblex;6.932758;46.43604
640;Caux;6.938529;46.431136
641;Haut-de-Caux;6.947958;46.434371
642;Les Echets;6.944894;46.43218
643;Crêt-d'y-Bau;6.955381;46.435149
644;Paccot;6.962696;46.437762
645;Jaman;6.976796;46.441338
646;La Perche;6.975108;46.436401
647;Rochers-de-Naye;6.979026;46.431676
648;Innertkirchen MIB;8.2321;46.702287
649;Innertkirchen Grimseltor;8.229023;46.705601
650;Innertkirchen Unterwasser;8.226078;46.708104
651;Aareschlucht West;8.198578;46.721253
652;Meiringen Alpbach;8.19001;46.723118
653;Meiringen;8.184954;46.727415
654;Vitznau;8.482383;47.009359
655;Mittlerschwanden;8.482469;47.019191
656;Grubisbalm;8.483131;47.026211
657;Freibergen;8.479733;47.030047
658;Romiti Felsentor;8.475923;47.036441
659;Rigi Kaltbad-First;8.466699;47.044009
660;Rigi Staffelhöhe;8.4645;47.048094
661;Rigi Staffel;8.474242;47.053683
662;Rigi Kulm;8.485236;47.055176
663;Arth-Goldau RB;8.547774;47.048885
664;Goldau A4;8.547256;47.043583
665;Kräbel;8.53079;47.040214
666;Fruttli;8.504975;47.038397
667;Rigi Klösterli;8.487134;47.042546
668;Rigi Wölfertschen-First;8.476513;47.047249
669;Lauterbrunnen;7.907573;46.598967
670;Wengwald;7.913627;46.609188
671;Wengen;7.921003;46.604902
672;Wengernalp;7.93894;46.575561
673;Allmend;7.931972;46.594033
674;Sengg (Verzw);7.926012;46.603153
675;Grindelwald Grund;8.023248;46.62246
676;Grindelwald;8.034457;46.624237
677;Alpiglen;8.001903;46.600105
678;Brandegg;8.011174;46.60918
679;Appenzell;9.409769;47.328738
680;Gontenbad;9.372732;47.33175
681;Gonten;9.347732;47.328378
682;Jakobsbad;9.328316;47.32007
683;Urnäsch;9.284965;47.317578
684;Zürchersmühle;9.292579;47.33033
685;Waldstatt;9.286399;47.357465
686;Wilen;9.279423;47.375507
687;Herisau;9.276727;47.389873
688;Steinegg;9.430398;47.320556
689;Weissbad;9.435976;47.310869
690;Schwende;9.435623;47.300024
691;Wasserauen;9.428834;47.285737
692;Trogen;9.461552;47.407243
693;Gfeld;9.455874;47.404994
694;Bendlehn;9.451571;47.406508
695;Speicher;9.443166;47.410649
696;Schützengarten;9.437339;47.4129
697;Vögelinsegg;9.43604;47.416072
698;Schwarzer Bären;9.415438;47.422418
699;St. Gallen Notkersegg;9.403231;47.425343
700;St. Gallen Birnbäumen;9.393429;47.425941
701;St. Gallen Schülerhaus;9.387531;47.424907
702;St. Gallen Spisertor;9.379713;47.424643
703;St. Gallen Marktplatz;9.376383;47.42639
704;St. Gallen AB;9.370588;47.423411
705;St. Gallen Riethüsli;9.366663;47.410944
706;Lustmühle;9.358619;47.399939
707;Niederteufen;9.367798;47.392157
